20  -40 0
30  -40 0
40  -40 0
50  -40 0
60  -40 0
70  -40 0
80  -40 0
90  -40 0
100  -40 0

-100  -30 0
-90  -30 0
-80  -30 0
-70  -30 0
-60  -30 0
-50  -30 0
-40  -30 0
-30  -30 0
-20  -30 0
-10  -30 0
0  -30 0
10  -30 0
20  -30 0
30  -30 0
40  -30 0
50  -30 0
60  -30 0
70  -30 0
80  -30 0
90  -30 0
100  -30 0

-100  -20 0
-90  -20 0
-80  -20 0
-70  -20 0
-60  -20 0
-50  -20 0
-40  -20 0
-30  -20 0
-20  -20 0
-10  -20 0
0  -20 0
10  -20 0
20  -20 0
30  -20 0
40  -20 0
50  -20 0
60  -20 0
70  -20 0
80  -20 0
90  -20 0
100  -20 0

-100  -10 0
-90  -10 0
-80  -10 0
-70  -10 0
-60  -10 0
-50  -10 0
-40  -10 0
-30  -10 0
-20  -10 0
-10  -10 0
0  -10 0
10  -10 0
20  -10 0
30  -10 0
40  -10 0
50  -10 0
60  -10 0
70  -10 0
80  -10 0
90  -10 0
100  -10 0

-100  0 0
-90  0 0
-80  0 0
-70  0 0
-60  0 0
-50  0 0
-40  0 0
-30  0 0
-20  0 0
-10  0 0
0  0 0
10  0 0
20  0 0
30  0 0
40  0 0
50  0 0
60  0 0
70  0 0
80  0 0
90  0 0
100  0 0

-100  10 0
-90  10 0
-80  10 0
-70  10 0
-60  10 0
-50  10 0
-40  10 0
-30  10 0
-20  10 0
-10  10 0
0  10 0
10  10 0
20  10 0
30  10 0
40  10 0
50  10 0
60  10 0
70  10 0
80  10 0
90  10 0
100  10 0

-100  20 0
-90  20 0
-80  20 0
-70  20 0
-60  20 0
-50  20 0
-40  20 0
-30  20 0
-20  20 0
-10  20 0
0  20 0
10  20 0
20  20 0
30  20 0
40  20 0
50  20 0
60  20 0
70  20 0
80  20 0
90  20 0
100  20 0

-100  30 0
-90  30 0
-80  30 0
-70  30 0
-60  30 0
-50  30 0
-40  30 0
-30  30 0
-20  30 0
-10  30 0
0  30 0
10  30 0
20  30 0
30  30 0
40  30 0
50  30 0
60  30 0
70  30 0
80  30 0
90  30 0
100  30 0

-100  40 0
-90  40 0
-80  40 0
-70  40 0
-60  40 0
-50  40 0
-40  40 0
-30  40 0
-20  40 0
-10  40 0
0  40 0
10  40 0
20  40 0
30  40 0
40  40 0
50  40 0
60  40 0
70  40 0
80  40 0
90  40 0
100  40 0

-100  50 0
-90  50 0
-80  50 0
-70  50 0
-60  50 0
-50  50 0
-40  50 0
-30  50 0
-20  50 0
-10  50 0
0  50 0
10  50 0
20  50 0
30  50 0
40  50 0
50  50 0
60  50 0
70  50 0
80  50 0
90  50 0
100  50 0

-100  60 0
-90  60 0
-80  60 0
-70  60 0
-60  60 0
-50  60 0
-40  60 0
-30  60 0
-20  60 0
-10  60 0
0  60 0
10  60 0
20  60 0
30  60 0
40  60 0
50  60 0
60  60 0
70  60 0
80  60 0
90  60 0
100  60 0

-100  70 0
-90  70 0
-80  70 0
-70  70 0
-60  70 0
-50  70 0
-40  70 0
-30  70 0
-20  70 0
-10  70 0
0  70 0
10  70 0
20  70 0
30  70 0
40  70 0
50  70 0
60  70 0
70  70 0
80  70 0
90  70 0
100  70 0

-100  80 0
-90  80 0
-80  80 0
-70  80 0
-60  80 0
-50  80 0
-40  80 0
-30  80 0
-20  80 0
-10  80 0
0  80 0
10  80 0
20  80 0
30  80 0
40  80 0
50  80 0
60  80 0
70  80 0
80  80 0
90  80 0
100  80 0

-100  90 0
-90  90 0
-80  90 0
-70  90 0
-60  90 0
-50  90 0
-40  90 0
-30  90 0
-20  90 0
-10  90 0
0  90 0
10  90 0
20  90 0
30  90 0
40  90 0
50  90 0
60  90 0
70  90 0
80  90 0
90  90 0
100  90 0

-100  100 0
-90  100 0
-80  100 0
-70  100 0
-60  100 0
-50  100 0
-40  100 0
-30  100 0
-20  100 0
-10  100 0
0  100 0
10  100 0
20  100 0
30  100 0
40  100 0
50  100 0
60  100 0
70  100 0
80  100 0
90  100 0
100  100 0

